international_plan,voice_mail_plan,number_vmail_messages,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,total_net_minutes,total_net_calls,total_net_charge
0,0,0.0,8.5,5.0,2.3,3,703.7,303.0,72.78
0,0,0.0,9.6,1.0,2.59,2,554.0,322.0,62.44
0,0,0.0,8.6,9.0,2.32,3,508.00000000000006,376.0,55.42
0,1,21.0,8.2,2.0,2.21,2,533.6,314.0,51.68000000000001
0,1,27.0,11.4,2.0,3.08,2,592.5,287.0,44.85
0,0,0.0,9.2,3.0,2.48,2,607.4,346.0,59.51
0,0,0.0,12.8,6.0,3.46,2,569.5,236.0,56.48
0,1,26.0,11.1,2.0,3.0,2,560.4,285.0,55.46
0,0,0.0,3.25,0.0,0.8899999999999992,3,505.3,279.0,47.14
0,0,0.0,9.0,4.0,2.43,1,627.8,326.0,59.1
0,0,0.0,11.9,8.0,3.21,3,519.7,339.0,56.72
1,0,0.0,9.7,5.0,2.62,2,586.3,332.0,57.220000000000006
0,0,0.0,10.0,5.0,2.7,4,525.3,283.0,60.52
0,1,29.0,8.8,5.0,2.38,2,505.7,297.0,56.17
0,0,0.0,11.2,2.0,3.02,0,527.8,324.0,53.849999999999994
0,1,40.0,13.1,5.0,3.54,3,445.80000000000007,334.0,46.04
0,0,0.0,10.1,6.0,2.73,2,737.0999999999999,300.0,73.65
0,0,0.0,13.1,9.0,3.54,2,489.2,289.0,42.42
0,1,32.0,8.7,7.0,2.35,1,683.9000000000001,309.0,67.0
0,0,0.0,6.5,6.0,1.76,1,624.3,319.0,61.169999999999995
0,0,0.0,14.0,4.0,3.78,2,555.6,294.0,53.35
0,0,0.0,13.9,2.0,3.75,1,581.5,306.0,64.11
0,1,38.0,14.8,5.0,4.0,2,642.4,273.0,62.44
0,0,0.0,4.0,7.0,1.08,0,581.0,317.0,60.36
0,1,24.0,13.5,1.0,3.65,3,581.5999999999999,339.0,59.970000000000006
0,0,0.0,11.5,4.0,3.11,3,562.5,253.0,64.81
0,0,0.0,9.6,2.0,2.59,0,685.3,371.0,63.03
0,0,0.0,6.6,5.0,1.78,3,679.2,282.0,60.6
0,0,0.0,12.1,5.0,3.27,1,551.1,336.0,58.41
0,0,0.0,7.5,6.0,2.03,2,723.6,277.0,68.66
0,0,0.0,10.5,3.0,2.84,2,537.1,323.0,43.93000000000001
0,0,0.0,9.3,3.0,2.51,2,502.1,240.5,47.69
0,0,0.0,11.6,9.0,3.13,1,423.29999999999995,321.0,35.47
0,0,0.0,6.4,2.0,1.73,0,560.0,301.0,57.95
0,0,0.0,8.7,5.0,2.35,4,433.7,309.0,39.36
0,0,0.0,9.2,4.0,2.48,2,533.9,302.0,49.19
0,0,0.0,9.5,5.0,2.57,1,536.0,328.0,45.69
0,0,0.0,12.1,7.0,3.27,0,681.5,303.0,65.00999999999999
0,0,0.0,4.7,7.0,1.27,3,669.5999999999999,253.0,61.599999999999994
1,1,19.0,10.5,1.0,2.84,1,692.0,283.0,60.56
0,0,0.0,10.9,5.0,2.94,2,342.6,296.0,34.75
0,0,0.0,6.8,2.0,1.84,1,646.7,325.0,57.39
0,0,0.0,12.0,2.0,3.24,5,521.9,260.0,47.43
0,1,36.0,16.4,5.0,4.43,1,586.3,304.0,57.57
0,0,0.0,14.1,3.0,3.81,3,638.3,301.0,66.72
0,0,0.0,10.3,5.0,2.78,1,673.8,310.0,66.64999999999999
0,0,0.0,4.7,6.0,1.27,1,709.0,354.0,74.72
0,0,0.0,14.0,8.0,3.78,0,454.70000000000005,306.0,39.33
0,0,0.0,9.3,3.0,2.51,3,536.9,315.0,55.19
0,0,0.0,12.2,5.0,3.29,3,625.9000000000001,289.0,60.97
0,1,24.0,11.7,2.0,3.16,2,581.5,302.0,58.99
0,0,0.0,10.6,3.0,2.86,0,572.0,330.0,57.81
0,0,0.0,10.0,3.0,2.7,0,512.9,256.0,49.23
0,0,0.0,12.6,3.0,3.4,2,543.3,241.0,46.400000000000006
0,0,0.0,7.4,2.0,2.0,1,790.95,380.0,75.185
0,1,27.0,11.1,3.0,3.0,0,634.8,341.0,66.81
0,0,0.0,12.0,5.0,3.24,2,695.1,317.0,75.28999999999999
1,1,26.0,8.0,3.0,2.16,0,771.4,281.0,84.68
0,0,0.0,13.2,2.0,3.56,4,604.0,282.0,56.66
0,0,0.0,10.7,7.0,2.89,1,424.3,257.0,37.11
0,1,25.0,14.5,3.0,3.92,1,551.7,356.0,49.55
0,0,0.0,12.3,6.0,3.32,2,686.2,253.0,64.45
0,0,0.0,9.4,6.0,2.54,3,440.7,323.0,40.660000000000004
0,0,0.0,10.2,6.0,2.75,1,567.3,242.0,60.86
0,0,0.0,3.5,6.0,0.95,0,634.5,252.0,54.92
0,0,0.0,11.5,2.0,3.11,1,585.4,307.0,55.95
0,0,0.0,9.7,5.0,2.62,1,677.4,291.0,70.06
0,1,16.0,5.6,4.0,1.51,2,480.5,334.0,45.709999999999994
0,1,20.0,10.4,7.0,2.81,0,691.9,293.0,72.88
0,0,0.0,11.1,3.0,3.0,2,680.5,289.0,70.76
0,0,0.0,11.7,3.0,3.16,1,707.6,311.0,69.11999999999999
1,0,0.0,6.4,7.0,1.73,0,447.8,239.0,39.79
0,0,0.0,13.2,2.0,3.56,1,728.6,292.0,70.07
0,0,0.0,10.2,2.0,2.75,3,635.1,357.0,63.11
0,0,0.0,13.5,6.0,3.65,3,572.7,265.0,49.88
0,0,0.0,9.4,3.0,2.54,2,552.2,293.0,58.769999999999996
0,0,0.0,10.6,5.0,2.86,1,510.2,302.0,52.59
1,0,0.0,10.5,3.0,2.84,3,707.6999999999999,332.0,64.68
0,0,0.0,11.8,4.0,3.19,4,615.3,278.0,64.94
1,0,0.0,10.6,2.0,2.86,1,663.6,261.0,78.15
0,0,0.0,9.1,2.0,2.46,1,541.7,252.0,49.14
0,1,24.0,12.3,2.0,3.32,5,436.2,275.0,39.160000000000004
0,0,0.0,10.6,5.0,2.86,0,646.9000000000001,356.0,58.81
0,0,0.0,15.0,6.0,4.05,1,462.70000000000005,337.0,41.29
0,0,0.0,14.6,2.0,3.94,1,682.6,337.0,57.2
0,0,0.0,11.5,3.0,3.11,0,565.6,279.0,55.620000000000005
1,0,0.0,16.6,5.0,4.48,2,534.2,285.0,53.28999999999999
0,0,0.0,6.9,5.0,1.86,2,518.8,243.0,48.379999999999995
0,0,0.0,13.7,6.0,3.7,1,518.3,288.0,52.22
0,0,0.0,9.7,2.0,2.62,0,611.6,271.0,53.1
0,0,0.0,10.9,3.0,2.94,1,466.70000000000005,312.0,46.38
0,0,0.0,5.7,2.0,1.54,0,693.3,322.0,65.93
0,0,0.0,13.6,4.0,3.67,1,523.3,329.0,43.03
0,1,29.0,8.5,3.0,2.3,1,537.5,221.0,49.309999999999995
0,1,22.0,7.8,6.0,2.11,1,704.6,310.0,71.78
1,0,0.0,10.3,9.0,2.78,5,423.4,312.0,39.59
0,0,0.0,7.8,6.0,2.11,1,639.7,330.0,63.870000000000005
0,0,0.0,12.6,3.0,3.4,0,528.8,319.0,47.3
0,0,0.0,9.1,1.0,2.46,1,652.2,260.0,63.04
0,0,0.0,12.1,5.0,3.27,0,533.1,251.0,52.99
0,1,12.0,15.1,3.0,4.08,1,462.9,287.0,40.64
0,0,0.0,11.1,8.0,3.0,0,551.2,258.0,47.32
0,0,0.0,8.2,3.0,2.21,3,487.2,290.0,41.3
0,0,0.0,14.0,2.0,3.78,0,619.9,331.0,64.30000000000001
0,1,24.0,12.6,4.0,3.4,4,503.6,271.0,45.23
0,0,0.0,13.2,3.0,3.56,0,540.0,315.0,57.98
0,0,0.0,7.0,2.0,1.89,2,461.69999999999993,294.0,44.38
0,0,0.0,14.8,8.0,4.0,3,623.8,282.0,64.03
1,0,0.0,17.25,4.0,4.65,3,641.1,285.0,61.12
0,0,0.0,17.25,2.0,4.65,1,492.5,314.0,45.56
0,1,27.0,3.25,0.0,0.8899999999999992,1,535.1,327.0,46.690000000000005
0,0,0.0,8.4,4.0,2.27,1,553.5,299.0,47.28
0,0,0.0,12.7,8.0,3.43,2,803.0124999999999,318.0,85.3175
0,0,0.0,7.8,5.0,2.11,1,480.1,326.0,50.03
0,1,23.0,15.3,2.0,4.13,1,552.8,266.0,55.629999999999995
0,0,0.0,9.5,9.0,2.57,1,767.1,275.0,79.81
0,1,26.0,16.3,4.0,4.4,1,711.8,314.0,74.67
0,0,0.0,8.1,4.0,2.19,1,600.5,296.0,57.75
0,0,0.0,10.5,6.0,2.84,4,532.3,280.0,53.379999999999995
0,0,0.0,8.3,6.0,2.24,2,603.5,253.0,67.74
0,1,31.0,10.1,7.0,2.73,3,654.2,287.0,74.57000000000001
0,1,32.0,14.1,8.0,3.81,4,555.5,305.0,54.38999999999999
0,0,0.0,6.3,7.0,1.7,0,488.5,253.0,45.72
0,0,0.0,13.0,5.0,3.51,2,542.5,257.0,44.62
0,1,31.0,9.7,5.0,2.62,1,603.6999999999999,314.0,58.28
0,0,0.0,16.8,3.0,4.54,2,704.0,232.0,72.74000000000001
0,0,0.0,9.0,2.0,2.43,2,406.6,280.0,36.75
0,0,0.0,5.7,4.0,1.54,1,674.7,264.0,65.23
0,0,0.0,9.8,3.0,2.65,1,572.3,328.0,54.35
0,1,40.0,7.8,4.0,2.11,1,474.70000000000005,327.0,49.849999999999994
1,0,0.0,14.4,10.5,3.89,2,601.6,259.5,52.01
0,0,0.0,5.5,5.0,1.49,0,648.0,286.0,61.080000000000005
0,0,0.0,11.0,5.0,2.97,3,646.3,247.0,66.16
1,0,0.0,6.1,8.0,1.65,5,734.4,240.0,75.81
0,1,39.0,10.8,2.0,2.92,1,573.8,336.0,57.16
0,0,0.0,8.6,1.0,2.32,2,473.6,288.0,48.12
0,1,26.0,13.7,3.0,3.7,1,611.5,329.0,55.540000000000006
0,1,18.0,9.3,4.0,2.51,0,505.90000000000003,274.0,47.25
0,0,0.0,11.7,4.0,3.16,1,548.5,270.0,49.81
0,1,33.0,3.25,7.0,0.8899999999999992,0,481.79999999999995,245.0,44.6
0,1,24.0,12.7,3.0,3.43,1,572.3,261.0,48.33
0,0,0.0,10.1,3.0,2.73,3,437.4,306.0,32.65
0,0,0.0,6.6,9.0,1.78,4,641.3,337.0,64.55000000000001
0,0,0.0,10.5,2.0,2.84,2,622.1,318.0,59.49
0,0,0.0,4.2,9.0,1.13,2,742.2,311.0,68.61
0,0,0.0,9.7,3.0,2.62,3,684.0999999999999,304.0,67.07
0,1,24.0,9.4,2.0,2.54,3,678.4,333.0,66.0
0,0,0.0,7.0,10.0,1.89,0,647.1,349.0,61.77000000000001
0,0,0.0,9.0,3.0,2.43,0,712.4,314.0,70.9
0,0,0.0,7.1,3.0,1.92,1,684.3,331.0,68.64
0,0,0.0,9.4,4.0,2.54,3,568.3,322.0,57.54
0,1,33.0,12.2,4.0,3.29,1,760.8,255.0,69.75999999999999
1,0,0.0,12.2,2.0,3.29,0,676.1999999999999,304.0,78.55
0,1,14.0,10.5,3.0,2.84,2,510.4,296.0,50.55
0,0,0.0,8.8,6.0,2.38,0,565.8,256.0,51.4
0,1,34.0,5.6,10.5,1.51,1,581.5,294.0,58.58
0,0,0.0,9.3,4.0,2.51,0,640.0,264.0,60.56
0,1,33.0,12.2,3.0,3.29,2,658.4,302.0,68.98
0,0,0.0,12.2,5.0,3.29,0,566.4,307.0,47.55
0,0,0.0,10.1,8.0,2.73,1,756.1,313.0,76.91
0,1,40.0,9.1,3.0,2.46,1,631.8,294.0,62.42
0,1,29.0,15.2,4.0,4.1,1,551.1999999999999,360.0,55.89
0,0,0.0,9.3,4.0,2.51,2,620.3,305.0,59.53
0,0,0.0,10.2,5.0,2.75,1,488.4,323.0,45.08
0,0,0.0,9.2,3.0,2.48,0,514.8000000000001,269.0,56.63
1,1,38.0,14.0,7.0,3.78,1,538.5,364.0,57.23
0,0,0.0,9.1,3.0,2.46,1,651.0,311.0,65.84
0,0,0.0,14.1,4.0,3.81,3,574.3,295.0,47.56
0,0,0.0,10.9,8.0,2.94,0,403.3125,352.0,44.75625
0,1,30.0,8.7,6.0,2.35,3,706.3,311.0,75.98
0,0,0.0,11.3,4.0,3.05,3,680.2,274.0,62.32000000000001
0,0,0.0,9.9,3.0,2.67,4,545.3,273.0,54.349999999999994
0,0,0.0,15.5,3.0,4.19,1,562.0999999999999,333.0,48.91
0,0,0.0,6.8,8.0,1.84,1,576.5999999999999,332.0,55.690000000000005
0,0,0.0,8.0,3.0,2.16,0,665.6,322.0,61.35
0,1,26.0,15.1,5.0,4.08,0,644.5,303.0,60.48
0,0,0.0,11.8,7.0,3.19,0,455.70000000000005,358.0,44.88
0,0,0.0,9.0,2.0,2.43,3,587.8000000000001,324.0,59.55
0,1,31.0,9.7,4.0,2.62,0,604.5999999999999,317.0,62.53
0,0,0.0,10.1,3.0,2.73,2,556.3,308.0,54.7
1,1,28.0,8.8,3.0,2.38,5,439.0,276.0,42.29
0,0,0.0,9.3,2.0,2.51,2,660.9,311.0,66.16
0,0,0.0,5.8,2.0,1.57,3,529.3,311.0,56.53
1,0,0.0,10.9,7.0,2.94,1,807.8,312.0,81.73
0,0,0.0,17.25,3.0,4.65,1,664.7,270.0,61.94
0,0,0.0,11.5,2.0,3.11,4,767.1,299.0,85.28
0,0,0.0,11.9,1.0,3.21,0,582.3,274.0,53.28
0,1,22.0,7.6,5.0,2.05,1,562.2,231.0,55.59
0,0,0.0,10.5,2.0,2.84,4,493.4,268.0,48.43
0,0,0.0,11.7,2.0,3.16,4,602.6999999999999,322.0,56.839999999999996
0,1,40.0,11.6,2.0,3.13,1,769.4000000000001,347.0,78.24
0,0,0.0,6.8,3.0,1.84,4,543.5,334.0,60.260000000000005
0,0,0.0,13.1,5.0,3.54,0,748.7,208.0,83.73
0,0,0.0,6.7,5.0,1.81,4,559.8,329.0,59.27
1,1,28.0,10.7,2.0,2.89,3,701.7,333.0,70.47
0,1,18.0,6.5,4.0,1.76,0,441.3,310.0,43.0
0,0,0.0,15.8,3.0,4.27,6,490.9,316.0,49.85
0,1,21.0,11.9,7.0,3.21,1,551.5,307.0,54.5
0,1,20.0,10.5,4.0,2.84,0,667.5,320.0,68.3
0,1,31.0,10.5,5.0,2.84,1,559.0,325.0,55.9
0,1,17.0,8.7,1.0,2.35,1,413.5,292.0,36.79
0,0,0.0,9.6,5.0,2.59,0,621.6,263.0,55.34
0,1,17.0,9.2,1.0,2.48,3,646.6999999999999,280.0,66.22
0,0,0.0,10.9,3.0,2.94,0,595.2,226.0,59.26
0,1,40.0,14.0,10.5,3.78,1,444.2,337.0,38.230000000000004
0,1,39.0,7.8,6.0,2.11,1,699.8,223.0,74.66
0,0,0.0,10.1,5.0,2.73,3,628.6,334.0,59.29
0,0,0.0,7.2,5.0,1.94,2,631.0,291.0,71.27
0,1,28.0,7.6,3.0,2.05,3,716.6999999999999,317.0,72.53999999999999
0,0,0.0,7.8,4.0,2.11,2,604.7,258.0,56.23
0,0,0.0,13.1,8.0,3.54,2,383.8,317.0,37.75
0,1,30.0,11.4,6.0,3.08,1,757.8,253.0,70.27
0,0,0.0,5.4,2.0,1.46,1,546.2,273.0,61.34
1,0,0.0,8.4,4.0,2.27,1,641.4000000000001,384.5,64.74000000000001
0,0,0.0,9.4,5.0,2.54,3,588.9,313.0,61.74
0,0,0.0,10.5,6.0,2.84,1,541.0,289.0,68.74
0,1,38.0,9.7,6.0,2.62,1,615.7,296.0,65.08
0,1,17.0,10.6,7.0,2.86,1,583.0,301.0,54.620000000000005
1,0,0.0,13.6,3.0,3.67,3,528.1,318.0,52.739999999999995
0,0,0.0,3.8,4.0,1.03,0,671.6,335.0,71.28
0,0,0.0,10.4,2.0,2.81,3,541.3,308.0,50.52
0,0,0.0,8.9,2.0,2.4,3,720.6,309.0,73.82
0,0,0.0,13.7,6.0,3.7,3,516.6,328.0,49.379999999999995
0,0,0.0,5.8,3.0,1.57,2,832.6,329.0,83.28
0,0,0.0,8.3,4.0,2.24,0,494.0,303.0,45.89
0,0,0.0,10.5,3.0,2.84,2,675.8,263.0,73.5
0,0,0.0,10.8,3.0,2.92,1,420.3,336.0,39.73
1,0,0.0,9.0,6.0,2.43,1,594.9,268.0,58.779999999999994
0,0,0.0,14.1,6.0,3.81,2,661.5,258.0,63.93
